Row,Answer,app_race_1,app_race_2,app_race_3,app_race_4,app_race_5,co_app_race_1,co_app_race_2,co_app_race_3,co_app_race_4,co_app_race_5
0,Joint_Race_1,1,,21,,,5,,,,
1,Joint_Race_1,1,,21,,,1,5,,,
2,Joint_Race_1,1,,21,,,1,,5,,
3,Joint_Race_1,1,,21,,,1,,,5,
4,Joint_Race_1,1,,21,,,1,,,,5
5,Joint_Race_1,2,,21,,,5,,,,
6,Joint_Race_1,2,,21,,,1,5,,,
7,Joint_Race_1,2,,21,,,1,,5,,
8,Joint_Race_1,2,,21,,,1,,,5,
9,Joint_Race_1,2,,21,,,1,,,,5
10,Joint_Race_1,21,22,41,42,43,5,,,,
11,Joint_Race_1,21,22,41,42,43,3,5,,,
12,Joint_Race_1,21,22,41,42,43,3,,5,,
13,Joint_Race_1,21,22,41,42,43,3,,,5,
14,Joint_Race_1,21,22,41,42,43,3,,,,5
15,Joint_Race_1,22,,21,,,5,,,,
16,Joint_Race_1,22,,21,,,1,5,,,
17,Joint_Race_1,22,,21,,,1,,5,,
18,Joint_Race_1,22,,21,,,1,,,5,
19,Joint_Race_1,22,,21,,,1,,,,5
20,Joint_Race_1,23,,21,,,5,,,,
21,Joint_Race_1,23,,21,,,1,5,,,
22,Joint_Race_1,23,,21,,,1,,5,,
23,Joint_Race_1,23,,21,,,1,,,5,
24,Joint_Race_1,23,,21,,,1,,,,5
25,Joint_Race_1,24,,21,,,5,,,,
26,Joint_Race_1,24,,21,,,1,5,,,
27,Joint_Race_1,24,,21,,,1,,5,,
28,Joint_Race_1,24,,21,,,1,,,5,
29,Joint_Race_1,24,,21,,,1,,,,5
30,Joint_Race_1,25,,21,,,5,,,,
31,Joint_Race_1,25,,21,,,1,5,,,
32,Joint_Race_1,25,,21,,,1,,5,,
33,Joint_Race_1,25,,21,,,1,,,5,
34,Joint_Race_1,25,,21,,,1,,,,5
35,Joint_Race_1,26,,21,,,5,,,,
36,Joint_Race_1,26,,21,,,1,5,,,
37,Joint_Race_1,26,,21,,,1,,5,,
38,Joint_Race_1,26,,21,,,1,,,5,
39,Joint_Race_1,26,,21,,,1,,,,5
40,Joint_Race_1,27,,21,,,5,,,,
41,Joint_Race_1,27,,21,,,1,5,,,
42,Joint_Race_1,27,,21,,,1,,5,,
43,Joint_Race_1,27,,21,,,1,,,5,
44,Joint_Race_1,27,,21,,,1,,,,5
45,Joint_Race_1,3,,21,,,5,,,,
46,Joint_Race_1,3,,21,,,1,5,,,
47,Joint_Race_1,3,,21,,,1,,5,,
48,Joint_Race_1,3,,21,,,1,,,5,
49,Joint_Race_1,3,,21,,,1,,,,5
50,Joint_Race_1,4,,21,,,5,,,,
51,Joint_Race_1,4,,21,,,1,5,,,
52,Joint_Race_1,4,,21,,,1,,5,,
53,Joint_Race_1,4,,21,,,1,,,5,
54,Joint_Race_1,4,,21,,,1,,,,5
55,Joint_Race_1,41,,21,,,5,,,,
56,Joint_Race_1,41,,21,,,1,5,,,
57,Joint_Race_1,41,,21,,,1,,5,,
58,Joint_Race_1,41,,21,,,1,,,5,
59,Joint_Race_1,41,,21,,,1,,,,5
60,Joint_Race_1,42,,21,,,5,,,,
61,Joint_Race_1,42,,21,,,1,5,,,
62,Joint_Race_1,42,,21,,,1,,5,,
63,Joint_Race_1,42,,21,,,1,,,5,
64,Joint_Race_1,42,,21,,,1,,,,5
65,Joint_Race_1,43,,21,,,5,,,,
66,Joint_Race_1,43,,21,,,1,5,,,
67,Joint_Race_1,43,,21,,,1,,5,,
68,Joint_Race_1,43,,21,,,1,,,5,
69,Joint_Race_1,43,,21,,,1,,,,5
70,Joint_Race_1,44,,21,,,5,,,,
71,Joint_Race_1,44,,21,,,1,5,,,
72,Joint_Race_1,44,,21,,,1,,5,,
73,Joint_Race_1,44,,21,,,1,,,5,
74,Joint_Race_1,44,,21,,,1,,,,5
75,Joint_Race_1,27,1,21,,,5,,,,
76,Joint_Race_1,27,1,21,,,1,5,,,
77,Joint_Race_1,27,1,21,,,1,,5,,
78,Joint_Race_1,27,1,21,,,1,,,5,
79,Joint_Race_1,27,1,21,,,1,,,,5
80,Joint_Race_1,27,2,21,,,5,,,,
81,Joint_Race_1,27,2,21,,,1,5,,,
82,Joint_Race_1,27,2,21,,,1,,5,,
83,Joint_Race_1,27,2,21,,,1,,,5,
84,Joint_Race_1,27,2,21,,,1,,,,5
85,Joint_Race_1,25,21,41,42,43,5,,,,
86,Joint_Race_1,25,21,41,42,43,3,5,,,
87,Joint_Race_1,25,21,41,42,43,3,,5,,
88,Joint_Race_1,25,21,41,42,43,3,,,5,
89,Joint_Race_1,25,21,41,42,43,3,,,,5
90,Joint_Race_1,27,22,21,,,5,,,,
91,Joint_Race_1,27,22,21,,,1,5,,,
92,Joint_Race_1,27,22,21,,,1,,5,,
93,Joint_Race_1,27,22,21,,,1,,,5,
94,Joint_Race_1,27,22,21,,,1,,,,5
95,Joint_Race_1,27,23,21,,,5,,,,
96,Joint_Race_1,27,23,21,,,1,5,,,
97,Joint_Race_1,27,23,21,,,1,,5,,
98,Joint_Race_1,27,23,21,,,1,,,5,
99,Joint_Race_1,27,23,21,,,1,,,,5
100,Joint_Race_1,27,24,21,,,5,,,,
101,Joint_Race_1,27,24,21,,,1,5,,,
102,Joint_Race_1,27,24,21,,,1,,5,,
103,Joint_Race_1,27,24,21,,,1,,,5,
104,Joint_Race_1,27,24,21,,,1,,,,5
105,Joint_Race_1,27,25,21,,,5,,,,
106,Joint_Race_1,27,25,21,,,1,5,,,
107,Joint_Race_1,27,25,21,,,1,,5,,
108,Joint_Race_1,27,25,21,,,1,,,5,
109,Joint_Race_1,27,25,21,,,1,,,,5
110,Joint_Race_1,27,26,21,,,5,,,,
111,Joint_Race_1,27,26,21,,,1,5,,,
112,Joint_Race_1,27,26,21,,,1,,5,,
113,Joint_Race_1,27,26,21,,,1,,,5,
114,Joint_Race_1,27,26,21,,,1,,,,5
115,Joint_Race_1,25,27,41,42,43,5,,,,
116,Joint_Race_1,25,27,41,42,43,3,5,,,
117,Joint_Race_1,25,27,41,42,43,3,,5,,
118,Joint_Race_1,25,27,41,42,43,3,,,5,
119,Joint_Race_1,25,27,41,42,43,3,,,,5
120,Joint_Race_1,27,3,21,,,5,,,,
121,Joint_Race_1,27,3,21,,,1,5,,,
122,Joint_Race_1,27,3,21,,,1,,5,,
123,Joint_Race_1,27,3,21,,,1,,,5,
124,Joint_Race_1,27,3,21,,,1,,,,5
125,Joint_Race_1,27,4,21,,,5,,,,
126,Joint_Race_1,27,4,21,,,1,5,,,
127,Joint_Race_1,27,4,21,,,1,,5,,
128,Joint_Race_1,27,4,21,,,1,,,5,
